Prolific_ID,Option Generated,Generation,Scenario,How Good,How Probable,How Morally Acceptable,How Normal
,Ask a stranger for a loan,5,Scenario 7,56,18,72,32
,Call the credit card company ,6,Scenario 7,53,58,73,40
,Throw a fit,7,Scenario 7,20,30,24,13
,Dine and Dash,8,Scenario 7,25,20,7,11
,Explain to the professor what happened,1,Scenario 8,92,84,97,84
,Ask to take the test another day,2,Scenario 8,92,93,91,93
,Take a sick day,3,Scenario 8,79,86,73,84
,Cheat off of a classmate,4,Scenario 8,45,61,21,60
,Study for as much time as she has left,5,Scenario 8,84,73,91,79
,Take the exam without preparation ,6,Scenario 8,28,62,77,67
,Go to the nurses office before the exam,7,Scenario 8,61,73,46,60
,Bomb the exam on purpose,8,Scenario 8,16,11,69,28
6574af22de574dcc620a9b60,,2,Scenario 1,,,,
6574af22de574dcc620a9b60,,3,Scenario 1,,,,
6574af22de574dcc620a9b60,,4,Scenario 1,,,,
6574af22de574dcc620a9b60,,5,Scenario 1,,,,
6574af22de574dcc620a9b60,,6,Scenario 1,,,,
6574af22de574dcc620a9b60,,7,Scenario 1,,,,
6574af22de574dcc620a9b60,,8,Scenario 1,,,,
6574af22de574dcc620a9b60,Uber,1,Scenario 2,100,90,100,100
6574af22de574dcc620a9b60,Taxi,2,Scenario 2,75,75,100,80
6574af22de574dcc620a9b60,Lyft,3,Scenario 2,80,80,100,100
6574af22de574dcc620a9b60,Friend,4,Scenario 2,100,70,80,100
6574af22de574dcc620a9b60,Mom,5,Scenario 2,70,70,100,100
6574af22de574dcc620a9b60,Dad,6,Scenario 2,85,90,100,100
6574af22de574dcc620a9b60,GF,7,Scenario 2,85,92,100,100
6574af22de574dcc620a9b60,Hitchhike ,8,Scenario 2,20,2,50,15
6574af22de574dcc620a9b60,,2,Scenario 3,,,,
6574af22de574dcc620a9b60,,3,Scenario 3,,,,
6574af22de574dcc620a9b60,,4,Scenario 3,,,,
6574af22de574dcc620a9b60,,5,Scenario 3,,,,
6574af22de574dcc620a9b60,,6,Scenario 3,,,,
6574af22de574dcc620a9b60,,7,Scenario 3,,,,
6574af22de574dcc620a9b60,,8,Scenario 3,,,,
6574af22de574dcc620a9b60,Call Mom,1,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Explain Situation,2,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Try and turn in at a later date,3,Scenario 4,65,70,76,100
6574af22de574dcc620a9b60,Turn in nothing,5,Scenario 4,0,65,3,10
6574af22de574dcc620a9b60,Talk to teacher,6,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,Find a ride home,7,Scenario 4,72,78,66,85
6574af22de574dcc620a9b60,Find a way to get the paper,8,Scenario 4,100,100,100,100
6574af22de574dcc620a9b60,,1,Scenario 5,,,,
6574af22de574dcc620a9b60,,2,Scenario 5,,,,
6574af22de574dcc620a9b60,,3,Scenario 5,,,,
6574af22de574dcc620a9b60,,4,Scenario 5,,,,
6574af22de574dcc620a9b60,,6,Scenario 5,,,,
6574af22de574dcc620a9b60,,7,Scenario 5,,,,
6574af22de574dcc620a9b60,,8,Scenario 5,,,,
6574af22de574dcc620a9b60,Workout without membership,1,Scenario 6,50,70,30,30
6574af22de574dcc620a9b60,Renew membership,2,Scenario 6,100,100,100,100
6574af22de574dcc620a9b60,Cancel workout,3,Scenario 6,0,65,100,100
6574af22de574dcc620a9b60,Go running,5,Scenario 6,100,50,100,100
6574af22de574dcc620a9b60,Calisthenics,6,Scenario 6,100,70,100,100
6574af22de574dcc620a9b60,Find outside equiptment,7,Scenario 6,60,50,100,75
6574af22de574dcc620a9b60,Workout alternative,8,Scenario 6,100,50,100,100
6574af22de574dcc620a9b60,Explain to his Date,1,Scenario 7,100,90,100,100
6574af22de574dcc620a9b60,Dash and Dine,2,Scenario 7,10,50,0,2
6574af22de574dcc620a9b60,Run away crying,3,Scenario 7,0,0,0,1
6574af22de574dcc620a9b60,Make up an excuse,4,Scenario 7,64,92,62,78
6574af22de574dcc620a9b60,Lie about being robbed,5,Scenario 7,50,50,10,25
6574af22de574dcc620a9b60,Make the date pay,6,Scenario 7,0,3,5,1
6574af22de574dcc620a9b60,Sit there with no emotion,7,Scenario 7,0,5,6,2
6574af22de574dcc620a9b60,Start laughing ,8,Scenario 7,0,1,2,1
6574af22de574dcc620a9b60,,1,Scenario 8,,,,
6574af22de574dcc620a9b60,,2,Scenario 8,,,,
6574af22de574dcc620a9b60,,3,Scenario 8,,,,
6574af22de574dcc620a9b60,,4,Scenario 8,,,,
6574af22de574dcc620a9b60,,5,Scenario 8,,,,
6574af22de574dcc620a9b60,,6,Scenario 8,,,,
6574af22de574dcc620a9b60,,7,Scenario 8,,,,
6574af22de574dcc620a9b60,,8,Scenario 8,,,,
63e691a2fd3a3389c644c4c7,Ask friends for the money,2,Scenario 1,100,84,83,89
63e691a2fd3a3389c644c4c7,Ask colleagues,3,Scenario 1,66,64,50,28
63e691a2fd3a3389c644c4c7,Take a loan,4,Scenario 1,88,77,78,76
63e691a2fd3a3389c644c4c7,Start a fundraiser,5,Scenario 1,80,77,61,93
63e691a2fd3a3389c644c4c7,Ask for billing assistance,6,Scenario 1,100,100,100,91
63e691a2fd3a3389c644c4c7,Take aloan,7,Scenario 1,84,78,77,74
63e691a2fd3a3389c644c4c7,Vote democrat next election,8,Scenario 1,100,80,100,88
63e691a2fd3a3389c644c4c7,,1,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,2,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,3,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,4,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,5,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,6,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,7,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,,8,Scenario 2,,,,
63e691a2fd3a3389c644c4c7,Try to find out what is missing exactly,2,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Alert his manager to the problem,3,Scenario 3,100,89,100,90
63e691a2fd3a3389c644c4c7,Follow protocols ,4,Scenario 3,100,96,100,89
63e691a2fd3a3389c644c4c7,Keep relevant information for accountability,5,Scenario 3,100,95,100,92
63e691a2fd3a3389c644c4c7,Close up as normal,6,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Immediately check in the next day with management,7,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,Ask the other employees if they remember anything unusual from the previous day,8,Scenario 3,100,100,100,100
63e691a2fd3a3389c644c4c7,,1,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,2,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,3,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,5,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,6,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,7,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,8,Scenario 4,,,,
63e691a2fd3a3389c644c4c7,,1,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,2,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,3,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,4,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,6,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,7,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,8,Scenario 5,,,,
63e691a2fd3a3389c644c4c7,,1,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,,2,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,,3,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,,5,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,,6,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,,7,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,,8,Scenario 6,,,,
63e691a2fd3a3389c644c4c7,Apologise,1,Scenario 7,100,100,100,100
63e691a2fd3a3389c644c4c7,Explain the situation,2,Scenario 7,100,100,100,100
63e691a2fd3a3389c644c4c7,Promise to make amends,3,Scenario 7,100,95,100,76
63e691a2fd3a3389c644c4c7,Repay the neighbor the next day,4,Scenario 7,100,95,100,86
63e691a2fd3a3389c644c4c7,Ask the neighbor how he can make it up to them,5,Scenario 7,100,72,100,52
63e691a2fd3a3389c644c4c7,Be sincere in his efforts to rectify the situation,6,Scenario 7,100,94,100,81
63e691a2fd3a3389c644c4c7,Find out why it declined and fix it,7,Scenario 7,100,100,100,100
63e691a2fd3a3389c644c4c7,Be prepared next time,8,Scenario 7,100,90,100,100
63e691a2fd3a3389c644c4c7,Take the test,1,Scenario 8,80,100,84,95
63e691a2fd3a3389c644c4c7,Cram and hope for the best,2,Scenario 8,100,100,100,100
63e691a2fd3a3389c644c4c7,Ask for an extension,3,Scenario 8,70,60,73,60
63e691a2fd3a3389c644c4c7,Ask for a retake,4,Scenario 8,79,68,78,64
63e691a2fd3a3389c644c4c7,Let this be a lesson in priorities,5,Scenario 8,100,15,94,41
63e691a2fd3a3389c644c4c7,Accept this setback,6,Scenario 8,100,15,74,32
63e691a2fd3a3389c644c4c7,Remember how this felt,7,Scenario 8,100,83,80,71
63e691a2fd3a3389c644c4c7,Focus on her emotional healing ,8,Scenario 8,100,9,91,50
62e5a1374e9ae5284b4625b4,Switch insurance,2,Scenario 1,100,25,100,100
62e5a1374e9ae5284b4625b4,Ask friends for money,3,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Ask family for money,4,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Ask for an advance pay,5,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Find programs that may assist,6,Scenario 1,100,75,100,100
62e5a1374e9ae5284b4625b4,Steal the money,7,Scenario 1,0,10,0,25
62e5a1374e9ae5284b4625b4,Steal the medicine,8,Scenario 1,100,10,50,50
62e5a1374e9ae5284b4625b4,,1,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,2,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,3,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,4,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,5,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,6,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,7,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,8,Scenario 2,,,,
62e5a1374e9ae5284b4625b4,,2,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,,3,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,,4,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,,5,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,,6,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,,7,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,,8,Scenario 3,,,,
62e5a1374e9ae5284b4625b4,Do nothing,1,Scenario 4,0,75,100,100
62e5a1374e9ae5284b4625b4,Ask if she can turn it in tomorrow,2,Scenario 4,100,90,100,100
62e5a1374e9ae5284b4625b4,Say she does not have it but will turn it in tomorrow,3,Scenario 4,100,80,100,100
62e5a1374e9ae5284b4625b4,Steal someone else's ,5,Scenario 4,0,5,0,0
62e5a1374e9ae5284b4625b4,Ask her mom to bring it with her when picking up Mary and Mary can hand it in,6,Scenario 4,100,50,100,100
62e5a1374e9ae5284b4625b4,Ditch class,7,Scenario 4,0,5,100,50
62e5a1374e9ae5284b4625b4,Fake sickness and leave class early before she has to turn it in,8,Scenario 4,0,10,100,50
62e5a1374e9ae5284b4625b4,,1,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,,2,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,,3,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,,4,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,,6,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,,7,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,,8,Scenario 5,,,,
62e5a1374e9ae5284b4625b4,Renew her membership,1,Scenario 6,100,100,100,100
62e5a1374e9ae5284b4625b4,Walk in and say if she can still enter,2,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,Walk in and say she will renew later,3,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,Go eat lunch,5,Scenario 6,100,5,100,100
62e5a1374e9ae5284b4625b4,Skip the day,6,Scenario 6,0,10,100,100
62e5a1374e9ae5284b4625b4,Workout at home,7,Scenario 6,100,25,100,100
62e5a1374e9ae5284b4625b4,See if someone is willing to help her in as a guest,8,Scenario 6,100,10,100,100
62e5a1374e9ae5284b4625b4,,1,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,2,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,3,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,4,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,5,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,6,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,7,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,,8,Scenario 7,,,,
62e5a1374e9ae5284b4625b4,Skip the test,1,Scenario 8,0,0,100,10
62e5a1374e9ae5284b4625b4,Fake a reason for why she cannot make it and get an extension,2,Scenario 8,0,0,100,0
62e5a1374e9ae5284b4625b4,Cram as much as possible,3,Scenario 8,100,100,100,100
62e5a1374e9ae5284b4625b4,Cheat,4,Scenario 8,0,0,0,0
62e5a1374e9ae5284b4625b4,Take the test,5,Scenario 8,100,100,100,100
62e5a1374e9ae5284b4625b4,Study what she can,6,Scenario 8,100,100,100,100
62e5a1374e9ae5284b4625b4,Sleep in,7,Scenario 8,100,0,100,100
62e5a1374e9ae5284b4625b4,Ask for help with studying,8,Scenario 8,100,80,100,100
60dc4e2299f89a7ca94b2c91,,2,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,,3,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,,4,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,,5,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,,6,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,,7,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,,8,Scenario 1,,,,
60dc4e2299f89a7ca94b2c91,Call a Tow Truck: Contact a towing service to get his car moved off the highway and request a ride to the nearest transportation hub.,1,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Use a Rideshare App: Use a rideshare app like Uber or Lyft to request a ride directly to the airport.,2,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Call a Taxi Service: Contact a local taxi service to pick him up from his location and take him to the airport.,3,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Contact a Friend or Family Member: Call a friend or family member who might be available to pick him up and take him to the airport.,4,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Check Public Transportation Options: Look up the nearest bus or train routes that could get him to the airport.,5,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Flag Down a Passing Vehicle: If safe to do so, try to flag down a passing vehicle for assistance or a ride to the airport.",6,Scenario 2,90,90,95,95
60dc4e2299f89a7ca94b2c91,Walk to a Nearby Business: Walk to a nearby business or gas station to seek help or use their phone to arrange transportation.,7,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Contact the Airline: Call the airline to explain the situation and see if there are any options for rescheduling or getting on a later flight if he misses the current one.,8,Scenario 2,100,100,100,100
60dc4e2299f89a7ca94b2c91,Count the Cash Again: Recount the cash in the register to ensure there was no mistake in the initial count.,2,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Check for Misplaced Money: Look around the register area to see if any money has fallen or been misplaced.,3,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Review Security Footage: If available, check the security camera footage to identify any suspicious activities or errors.",4,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Ask Employees: Talk to other employees who worked that day to see if they noticed anything unusual or if they can help account for the discrepancy.,5,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Check Receipts and Records: Verify that all receipts match the recorded sales and that no receipts are missing.,6,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,Examine Recent Sales Promotions: Review any recent sales promotions or discounts that could have led to an incorrect calculation or missing amount.,7,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Report the Issue: If the discrepancy cannot be resolved, report the issue to the bakery owner or higher management immediately and document all efforts made to find the missing money.",8,Scenario 3,100,100,100,100
60dc4e2299f89a7ca94b2c91,,1,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,,2,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,,3,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,,5,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,,6,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,,7,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,,8,Scenario 4,,,,
60dc4e2299f89a7ca94b2c91,Stay Calm: Keep everyone calm to make rational decisions and avoid panic.,1,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Stay Put: Remain in one place to make it easier for rescuers to find them, unless they are in immediate danger.",2,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Signal for Help: Use available materials to create visible signals, such as SOS signs with rocks, reflective materials, or a smoky fire.",3,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,Ration Food and Water: Carefully ration their remaining food and water to last as long as possible.,4,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,Build a Shelter: Construct a shelter using natural materials to protect themselves from the cold and weather.,6,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Keep Warm: Build a fire for warmth, signaling, and protection against wild animals. Ensure proper ventilation to avoid carbon monoxide poisoning.",7,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Use Emergency Gear: Utilize any emergency gear they have, such as a compass, map, GPS device, or emergency beacon, to help signal for help or navigate to a safer location.",8,Scenario 5,100,100,100,100
60dc4e2299f89a7ca94b2c91,,1,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,,2,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,,3,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,,5,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,,6,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,,7,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,,8,Scenario 6,,,,
60dc4e2299f89a7ca94b2c91,"Use a Different Payment Method: If Sam has another credit card, debit card, or cash, he can use it to pay the bill.",1,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Check Mobile Banking: Use a mobile banking app to transfer funds to the account linked to the declined credit card, if possible.",2,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,Call the Bank: Contact his bank to explain the situation and see if they can temporarily increase his credit limit or resolve the issue with the card.,3,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,Ask the Restaurant for Assistance: Speak to the restaurant manager to explain the situation and see if they can hold his ID while he arranges payment or returns with cash.,4,Scenario 7,100,100,90,90
60dc4e2299f89a7ca94b2c91,Ask the Neighbor for Help: Politely ask his date if they can cover the bill and assure them that he will repay them as soon as possible.,5,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Use a Payment App: If both Sam and the restaurant accept mobile payment apps (like PayPal, Venmo, or Apple Pay), he can use those to pay.",6,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,"Visit an ATM: If there's an ATM nearby, he can withdraw cash to pay the bill.",7,Scenario 7,100,100,100,100
60dc4e2299f89a7ca94b2c91,Offer Collateral: Offer to leave something of value (like a watch or phone) with the restaurant as collateral until he can return with payment.,8,Scenario 7,90,95,90,90
60dc4e2299f89a7ca94b2c91,,1,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,2,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,3,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,4,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,5,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,6,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,7,Scenario 8,,,,
60dc4e2299f89a7ca94b2c91,,8,Scenario 8,,,,
610caddd4cac0d49d4261368,See if there are any off-brand versions of the medicine they could have covered instead,2,Scenario 1,100,91,100,100
610caddd4cac0d49d4261368,"Start offering to provide services to friends/family/neighbors to work to raise the money for her; cleaning houses, mowing lawns, walking pets, etc.",3,Scenario 1,80,25,100,75
610caddd4cac0d49d4261368,Start a Gofundme and share on social media to see if people will donate,4,Scenario 1,65,60,72,85
610caddd4cac0d49d4261368,Go to a local church and see if any of the members would be willing to help them out,5,Scenario 1,65,35,71,45
610caddd4cac0d49d4261368,"If not working, begin a job or if already working, try and get a second or third job ",6,Scenario 1,25,10,100,100
610caddd4cac0d49d4261368,Sell some their personal items to raise the money,7,Scenario 1,40,65,90,84
610caddd4cac0d49d4261368,Make continuous trips to the emergency room where she cannot be denied the care she needs once it becomes life threatening,8,Scenario 1,5,5,0,15
610caddd4cac0d49d4261368,,1,Scenario 2,,,,
610caddd4cac0d49d4261368,,2,Scenario 2,,,,
610caddd4cac0d49d4261368,,3,Scenario 2,,,,
610caddd4cac0d49d4261368,,4,Scenario 2,,,,
610caddd4cac0d49d4261368,,5,Scenario 2,,,,
610caddd4cac0d49d4261368,,6,Scenario 2,,,,
610caddd4cac0d49d4261368,,7,Scenario 2,,,,
610caddd4cac0d49d4261368,,8,Scenario 2,,,,
610caddd4cac0d49d4261368,Call the employees and see if someone will honestly admit to taking it or screwing up,2,Scenario 3,90,61,92,81
610caddd4cac0d49d4261368,Watch camera footage from the entire day to try and spot when the error was made,3,Scenario 3,25,5,65,0
610caddd4cac0d49d4261368,Call his boss and explain the situation to see if there's another solution,4,Scenario 3,100,71,90,80
610caddd4cac0d49d4261368,Leave work and deal with it tomorrow,5,Scenario 3,0,40,20,0
610caddd4cac0d49d4261368,Lie and say the register is balance and hope for the best,6,Scenario 3,0,10,0,0
610caddd4cac0d49d4261368,Check under the register & the surrounding areas to see if the money was misplaced,7,Scenario 3,100,100,100,100
610caddd4cac0d49d4261368,Ask his boss to just take the money out of his next check to make things right,8,Scenario 3,30,25,62,44
610caddd4cac0d49d4261368,,1,Scenario 4,,,,
610caddd4cac0d49d4261368,,2,Scenario 4,,,,
610caddd4cac0d49d4261368,,3,Scenario 4,,,,
610caddd4cac0d49d4261368,,5,Scenario 4,,,,
610caddd4cac0d49d4261368,,6,Scenario 4,,,,
610caddd4cac0d49d4261368,,7,Scenario 4,,,,
610caddd4cac0d49d4261368,,8,Scenario 4,,,,
610caddd4cac0d49d4261368,Have him and his friends scream as loudly as they can to try and signal help,1,Scenario 5,88,95,100,30
610caddd4cac0d49d4261368,Separate from his friends and everyone goes in a different direction to try and find help,2,Scenario 5,5,1,55,38
610caddd4cac0d49d4261368,Continue moving forward with his entire group hoping they can find a way out,3,Scenario 5,60,70,86,79
610caddd4cac0d49d4261368,Stay still where they are and hope help will arrive in time,4,Scenario 5,0,5,63,71
610caddd4cac0d49d4261368,Try using his phone to dial 911 as he walks through different parts of the mountain hoping cell service will eventually work,6,Scenario 5,100,90,100,84
610caddd4cac0d49d4261368,Make his friends stay put while he journeys away himself to try and find help,7,Scenario 5,4,1,45,39
610caddd4cac0d49d4261368,Have himself stay put and send his friends out to find help,8,Scenario 5,3,0,10,3
610caddd4cac0d49d4261368,,1,Scenario 6,,,,
610caddd4cac0d49d4261368,,2,Scenario 6,,,,
610caddd4cac0d49d4261368,,3,Scenario 6,,,,
610caddd4cac0d49d4261368,,5,Scenario 6,,,,
610caddd4cac0d49d4261368,,6,Scenario 6,,,,
610caddd4cac0d49d4261368,,7,Scenario 6,,,,
610caddd4cac0d49d4261368,,8,Scenario 6,,,,
610caddd4cac0d49d4261368,,1,Scenario 7,,,,
610caddd4cac0d49d4261368,,2,Scenario 7,,,,
610caddd4cac0d49d4261368,,3,Scenario 7,,,,
610caddd4cac0d49d4261368,,4,Scenario 7,,,,
610caddd4cac0d49d4261368,,5,Scenario 7,,,,
610caddd4cac0d49d4261368,,6,Scenario 7,,,,
610caddd4cac0d49d4261368,,7,Scenario 7,,,,
610caddd4cac0d49d4261368,,8,Scenario 7,,,,
610caddd4cac0d49d4261368,Try and study as much as she can the night before,1,Scenario 8,100,90,100,100
610caddd4cac0d49d4261368,Pretend she is sick or something came up so that she misses the class and has to retest,2,Scenario 8,39,85,40,90
610caddd4cac0d49d4261368,Write some answers/studying points down on herself or objects to cheat on the test,3,Scenario 8,20,71,0,88
610caddd4cac0d49d4261368,Cheat off of someone else in class for the test,4,Scenario 8,10,55,0,90
610caddd4cac0d49d4261368,Sit down with her teacher and explain what's going on with her to see if her teacher may be willing to help her test at a later time,5,Scenario 8,95,64,100,70
